0 0.0129259
1 0.0171334
2 0.00377595
3 0.00927969
4 0.00261402
5 0.00828813
6 0.0200436
7 0.0153087
8 0.0057506
9 0.0167264
10 0.0138007
11 0.0184143
12 0.000440028
13 0.0125528
14 0.0114596
15 0.00584083
16 0.0207369
17 0.0115638
18 0.00494401
19 0.0189936
20 0.0152755
21 0.00298624
22 0.0069493
23 0.00150899
24 0.0161309
25 0.0197268
26 0.00106627
27 0.0103543
28 0.00606414
29 0.0039231
30 0.0195509
31 0.0189901
32 0.0210565
33 0.00211598
34 0.00705889
35 0.00245971
36 0.0104041
37 0.00589168
38 0.0177684
39 0.0161547
40 0.00140722
41 0.0103582
42 0.0133582
43 0.00184725
44 0.00170023
45 0.0036069
46 0.00768808
47 0.00122623
48 0.0151707
49 0.0126321
50 0.0202198
51 0.0092353
52 0.0156183
53 0.00595826
54 0.0107443
55 0.0105384
56 0.0044742
57 0.0118106
58 0.0208927
59 0.0105383
60 0.0157337
61 0.0192327
62 0.00831754
63 0.0155794
64 0.000137805
65 0.0153764
66 0.0180391
67 0.0105419
68 5.7244e-05
69 0.0145966
70 0.00548575
71 0.00146447
72 0.00374396
73 0.0188439
74 0.00331171
75 0.00544419
76 0.00123994
77 0.0109998
78 0.00667042
79 0.0164106
80 0.00242102
81 0.00567938
82 0.00443508
83 0.0180394
84 0.0116376
85 0.0151794
86 0.00736688
87 0.0161118
88 0.00577908
89 0.00704868
90 0.00543931
91 0.000301893
92 0.00507051
93 0.0137568
94 0.0158813
95 0.00520832
96 0.00792241
97 0.0127095
98 0.0157502
99 0.00797966
